;Latitude;Longitude;sum;uncert
4248;"58°8'0.0""";"138°17'0.0""";100,25;1
4249;"72°46'0.0""";"140°56'0.0""";99,55;2
4250;"60°39'0.0""";"138°32'0.0""";99,98;1
4251;"53°41'0.0""";"138°37'0.0""";99,59;2
4252;"55°5'50.0""";"117°11'35.0""";99,98;1
4253;"59°19'0.0""";"152°58'0.0""";100,03;1
4254;"67°43'0.0""";"148°56'0.0""";99,88;1
4255;"50°20'0.0""";"108°22'0.0""";99,47;3
4256;"63°48'0.0""";"144°0'0.0""";99,77;1
4257;"61°10'0.0""";"138°27'0.0""";99,78;1
4258;"61°15'0.0""";"152°24'0.0""";99,52;2
4259;"47°51'0.0""";"138°1'42.0""";100,41;1
4260;"50°15'0.0""";"136°4'0.0""";100,62;2
4261;"65°42'0.0""";"174°22'0.0""";99,62;2
4262;"46°10'25.0""";"136°9'35.0""";99,9;1
4263;"69°28'0.0""";"141°42'0.0""";100,09;1
4264;"64°10'0.0""";"156°26'0.0""";100,6;2
4265;"60°56'0.0""";"148°35'0.0""";99,97;1
4266;"54°14'0.0""";"119°55'10.0""";99,58;2
4267;"45°29'0.0""";"135°24'0.0""";100,17;1
4268;"64°18'0.0""";"156°38'0.0""";100,03;1
4269;"62°10'0.0""";"139°14'0.0""";99,84;1
4270;"59°50'0.0""";"143°57'0.0""";99,69;2
4271;"69°18'0.0""";"164°6'0.0""";100,48;1
4272;"56°31'0.0""";"137°7'0.0""";99,67;2
4273;"68°55'0.0""";"172°17'0.0""";100,06;1
4274;"66°59'30.0""";"157°56'0.0""";99,6;2
4275;"47°25'0.0""";"138°59'0.0""";100,07;1
4276;"67°28'0.0""";"169°11'0.0""";100,19;1
4277;"66°9'0.0""";"165°41'0.0""";100,1;1
4278;"64°24'0.0""";"-172°19'0.0""";100,89;3
4279;"67°4'0.0""";"156°37'0.0""";99,5;2
4280;"69°2'0.0""";"139°18'0.0""";99,97;1
4281;"63°51'20.0""";"167°0'55.0""";100,04;1
4282;"47°51'0.0""";"138°41'0.0""";100,32;1
4283;"61°17'0.0""";"145°11'0.0""";99,69;2
4284;"56°27'0.0""";"138°13'0.0""";99,91;1
4285;"53°36'0.0""";"119°52'0.0""";99,69;2
4286;"45°7'30.0""";"133°51'55.0""";99,19;3
4287;"64°17'0.0""";"168°1'0.0""";99,92;1
4288;"59°19'0.0""";"152°57'0.0""";99,61;2
4289;"44°16'0.0""";"134°36'40.0""";100,48;1
4290;"68°55'0.0""";"164°24'0.0""";100,21;1
4291;"69°18'0.0""";"171°20'0.0""";100,2;1
4292;"69°1'0.0""";"172°17'0.0""";100,2;1
4293;"63°47'0.0""";"143°57'0.0""";99,63;2
4294;"44°16'0.0""";"132°47'0.0""";100,2;1
4295;"50°6'0.0""";"108°3'0.0""";99,84;1
4296;"46°24'0.0""";"137°34'50.0""";100,28;1
4297;"73°41'0.0""";"141°35'0.0""";99,56;2
4298;"65°6'0.0""";"135°4'0.0""";100,33;1
4299;"48°33'0.0""";"136°46'0.0""";99,56;2
4300;"65°50'0.0""";"165°46'0.0""";100,25;1
4301;"59°35'0.0""";"150°33'0.0""";99,49;3
4302;"53°0'0.0""";"115°17'0.0""";100,56;2
4303;"63°35'30.0""";"164°45'0.0""";100,64;2
4304;"66°57'0.0""";"157°57'0.0""";99,63;2
4305;"66°15'0.0""";"134°35'0.0""";100,31;1
4306;"47°2'0.0""";"137°26'55.0""";100,56;2
4307;"46°25'17.0""";"135°48'0.0""";100,05;1
4308;"69°42'0.0""";"170°27'0.0""";100,22;1
4309;"43°4'18.0""";"133°2'14.0""";99,42;3
4310;"65°30'0.0""";"-173°14'0.0""";99,75;1
4311;"59°33'0.0""";"150°56'0.0""";99,28;3
4312;"54°11'0.0""";"139°39'0.0""";99,79;1
4313;"65°29'0.0""";"139°32'0.0""";100,3;1
4314;"63°56'0.0""";"144°4'0.0""";99,64;2
4315;"56°34'0.0""";"137°7'0.0""";99,54;2
4316;"52°40'30.0""";"116°56'10.0""";99,9;1
4317;"65°4'0.0""";"-172°31'0.0""";100,55;2
4318;"62°9'0.0""";"139°17'0.0""";99,67;2
4319;"63°14'0.0""";"144°14'0.0""";99,94;1
4320;"69°5'0.0""";"172°8'0.0""";99,67;2
4321;"50°12'0.0""";"136°15'0.0""";99,44;3
4322;"65°43'0.0""";"162°24'0.0""";99,82;1
4323;"61°30'0.0""";"161°58'0.0""";100,64;2
4324;"50°2'0.0""";"139°42'0.0""";99,47;3
4325;"66°18'0.0""";"134°35'0.0""";100,35;1
4326;"67°23'0.0""";"168°52'0.0""";99,84;1
4327;"60°58'0.0""";"147°21'0.0""";99,68;2
4328;"63°0'35.0""";"165°0'8.0""";99,43;3
4329;"66°59'0.0""";"157°50'0.0""";99,67;2
4330;"44°31'8.0""";"135°35'0.0""";99,55;2
4331;"69°25'0.0""";"142°47'0.0""";100,31;1
4332;"45°45'40.0""";"137°15'30.0""";100,39;1
4333;"64°43'0.0""";"172°21'0.0""";100,15;1
4334;"69°41'0.0""";"151°20'0.0""";100,29;1
4335;"67°40'0.0""";"159°54'0.0""";99,44;3
4336;"51°22'0.0""";"134°18'0.0""";100,44;1
4337;"49°27'0.0""";"139°11'0.0""";99,57;2
4338;"53°24'0.0""";"157°3'0.0""";100,24;1
4339;"46°23'0.0""";"138°0'4.0""";100,59;2
4340;"61°10'0.0""";"138°27'0.0""";99,77;1
4341;"63°0'23.0""";"166°40'5.0""";100,57;2
4342;"69°33'0.0""";"141°0'0.0""";100,31;1
4343;"72°46'0.0""";"140°56'0.0""";99,87;1
4344;"65°9'0.0""";"169°5'0.0""";100,37;1
4345;"60°17'20.0""";"142°2'40.0""";99,71;2
4346;"63°2'0.0""";"162°32'0.0""";100,1;1
4347;"53°33'30.0""";"119°42'30.0""";99,76;1
4348;"69°31'0.0""";"149°30'0.0""";100,26;1
4349;"54°14'0.0""";"157°7'0.0""";100,71;2
4350;"63°4'0.0""";"139°11'0.0""";100,16;1
4351;"63°33'50.0""";"167°1'15.0""";100,44;1
4352;"63°56'0.0""";"144°4'0.0""";99,76;1
4353;"47°23'48.0""";"138°3'6.0""";99,67;2
4354;"69°5'0.0""";"140°1'0.0""";99,52;2
4355;"63°10'31.0""";"165°20'36.0""";100,59;2
4356;"51°58'0.0""";"133°51'0.0""";99,91;1
4357;"63°13'30.0""";"163°17'0.0""";99,63;2
4358;"64°12'0.0""";"156°35'0.0""";99,7;2
4359;"62°23'0.0""";"155°47'0.0""";100,23;1
4360;"51°48'0.0""";"135°18'0.0""";99,76;1
4361;"72°8'0.0""";"140°49'0.0""";99,98;1
4362;"46°22'55.0""";"136°18'10.0""";99,71;2
4363;"50°39'0.0""";"138°45'0.0""";100,32;1
4364;"55°14'40.0""";"118°47'10.0""";99,58;2
4365;"60°51'0.0""";"154°20'0.0""";99,78;1
4366;"65°2'0.0""";"172°55'0.0""";100,01;1
4367;"63°20'39.0""";"165°15'2.0""";99,98;1
4368;"62°43'0.0""";"148°30'0.0""";99,35;3
4369;"64°54'0.0""";"178°20'0.0""";100,11;1
4370;"57°34'0.0""";"133°18'0.0""";99,98;1
4371;"65°2'0.0""";"179°58'0.0""";99,61;2
4372;"69°24'0.0""";"177°10'0.0""";100,5;2
4373;"65°3'0.0""";"134°7'0.0""";99,68;2
4374;"50°23'0.0""";"135°17'0.0""";99,74;2
4375;"68°49'0.0""";"172°43'0.0""";100,08;1
4376;"47°3'0.0""";"137°14'13.0""";99,6;2
4377;"51°36'0.0""";"138°14'0.0""";99,86;1
4378;"62°21'0.0""";"155°55'0.0""";100,07;1
4379;"63°19'5.0""";"163°49'30.0""";100,05;1
4380;"50°32'0.0""";"108°45'0.0""";99,62;2
4381;"62°2'0.0""";"158°29'0.0""";99,95;1
4382;"63°45'0.0""";"175°30'0.0""";99,36;3
4383;"44°28'10.0""";"134°47'30.0""";100,21;1
4384;"61°58'0.0""";"156°27'0.0""";100,33;1
4385;"64°52'0.0""";"-175°2'0.0""";99,88;1
4386;"57°34'0.0""";"133°18'0.0""";100,37;1
4387;"69°54'0.0""";"136°37'0.0""";99,41;3
4388;"53°34'30.0""";"119°54'20.0""";99,97;1
4389;"61°45'0.0""";"146°25'0.0""";99,99;1
4390;"52°10'0.0""";"128°14'0.0""";99,92;1
4391;"47°21'18.0""";"138°27'12.0""";99,67;2
4392;"55°21'55.0""";"118°52'40.0""";100,11;1
4393;"65°17'0.0""";"169°47'0.0""";100,41;1
4394;"66°53'0.0""";"157°42'0.0""";99,69;2
4395;"46°54'28.0""";"137°3'13.0""";99,73;2
4396;"46°20'0.0""";"137°30'0.0""";99,9;1
4397;"50°43'0.0""";"133°38'0.0""";100,59;2
4398;"51°44'0.0""";"135°14'0.0""";99,81;1
4399;"43°40'0.0""";"135°11'30.0""";99,59;2
4400;"55°29'0.0""";"124°17'0.0""";100,36;1
4401;"69°0'0.0""";"140°2'0.0""";99,92;1
4402;"63°34'55.0""";"165°21'30.0""";100,39;1
4403;"43°4'28.0""";"133°3'14.0""";99,91;1
4404;"53°7'30.0""";"119°3'20.0""";99,45;3
4405;"73°13'0.0""";"143°18'0.0""";99,93;1
4406;"46°10'40.0""";"136°8'50.0""";100,5;2
4407;"54°41'0.0""";"124°21'0.0""";100,21;1
4408;"61°17'0.0""";"148°41'0.0""";99,82;1
4409;"68°59'0.0""";"172°13'0.0""";100,75;3
4410;"69°42'0.0""";"143°9'0.0""";99,2;3
4411;"69°35'0.0""";"149°3'0.0""";99,64;2
4412;"67°28'0.0""";"179°55'0.0""";99,91;1
4413;"53°8'40.0""";"117°4'15.0""";99,31;3
4414;"62°24'0.0""";"139°5'0.0""";100,1;1
4415;"55°23'20.0""";"118°31'30.0""";99,68;2
4416;"47°27'54.0""";"138°0'18.0""";100,24;1
4417;"68°23'0.0""";"179°29'0.0""";100,04;1
4418;"66°58'0.0""";"157°50'0.0""";99,78;1
4419;"44°42'20.0""";"135°19'15.0""";100,52;2
4420;"63°4'0.0""";"139°11'0.0""";100,01;1
4421;"69°57'0.0""";"140°32'0.0""";99,13;3
4422;"63°28'0.0""";"158°2'0.0""";100,18;1
4423;"63°50'0.0""";"157°39'0.0""";99,72;2
4424;"68°44'0.0""";"165°18'0.0""";99,82;1
4425;"73°13'0.0""";"143°18'0.0""";100,44;1
4426;"69°35'0.0""";"151°33'0.0""";100,42;1
4427;"60°42'0.0""";"138°30'0.0""";100,35;1
4428;"53°33'25.0""";"119°40'30.0""";100,45;1
4429;"64°20'0.0""";"-173°30'0.0""";100,3;1
