;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;time;Fe-number;Mali;molmass_Al2O3;molmass_CaO;molmass_P2O5;molmass_Na2O;molmass_K2O;moles_Al2O3;moles_CaO;moles_P2O5;moles_Na2O;moles_K2O;ASI;classificated
2383;547226,6882;6592313,323;54;V;"59°28'0.0""";"141°50'0.0""";;59,46666667;141,8333333;71,00271003;0,401485496;15,36685737;1,826759008;0,712636756;0,04014855;0,23085416;0,722673893;5,580648399;3,342366757;0,060222824;0,702599619;0,010037137;100;0,05;Pg;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,150714568;0,012886482;0,000424284;0,090039503;0,0354816;peraluminous;magnesian/alkali-calcic/peraluminous
2384;511146,4718;4930504,244;53;T;"44°31'40.0""";"135°8'25.0""";;44,52777778;135,1402778;71,03836112;0,3514762;14,29001808;1,817634063;1,225145612;0,060253063;0,3514762;1,586663989;3,615183772;4,689696726;0,07029524;0,893753766;0,010042177;100;0,01;K2-Pg;ferroan;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,140153178;0,028292867;0,000495246;0,058328231;0,049784466;peraluminous;ferroan/alkali-calcic/peraluminous
2385;426392,3039;7397062,94;1;W;"66°41'0.0""";"178°40'0.0""WW";W;66,68333333;-178,6666667;70,74;0,24;15,46;0,75;1,45;0,02;0,57;1,63;4,2;4,36;0,03;0,54;0,01;100;0,02;K2;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,151628089;0,029065621;0,000211357;0,067763795;0,046284501;peraluminous;magnesian/alkali-calcic/peraluminous
2386;541434,4503;5731549,802;53;U;"51°44'0.0""";"135°36'0.0""";;51,73333333;135,6;70,8462694;0,470706059;13,98097146;0,590886329;2,854281422;0,020030045;1,522283425;2,283425138;3,00450676;3,895843766;0,010015023;0,510766149;0,010015023;100;0,01;K2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,137122121;0,040717281;7,05581E-05;0,048475424;0,041357153;peraluminous;magnesian/calc-alkalic/peraluminous
2387;442703,9468;7471013,278;60;W;"67°21'0.0""";"175°40'0.0""";;67,35;175,6666667;70,98554797;0,341228422;15,00401445;1,204335608;1,204335608;0,05018065;0,551987154;1,977117623;3,00080289;4,767161782;0,090325171;0,622240064;0,200722601;100;0,21;K1;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,147155889;0,035255307;0,000636362;0,048415665;0,050606813;peraluminous;magnesian/calc-alkalic/peraluminous
2388;598108,7734;7717710,876;55;W;"69°33'0.0""";"149°31'0.0""";;69,55;149,5166667;70,60996306;0,339422981;14,52530698;0,838574423;2,266147549;0,069881202;0,998302885;3,164620146;3,883398223;3,054806828;0,129779375;0,109813317;0,009983029;100;0,16;K1;magnesian;calcic;101,96;56,08;141,94;61,98;94,2;0,142460837;0,056430459;0,000914326;0,062655667;0,032428947;metaluminous;magnesian/calcic/metaluminous
2389;360700,8555;7172653,788;2;W;"64°39'0.0""";"173°55'0.0""WW";W;64,65;-173,9166667;70,87592704;0,300661455;15,91501303;0,450992183;1,403086791;0,060132291;0,531168571;1,984365604;3,217077571;4,219282421;0,010022049;1,022248948;0,010022049;100;0,54;K2;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,156090752;0,035384551;7,06076E-05;0,051905091;0,044790684;peraluminous;magnesian/calc-alkalic/peraluminous
2390;497769,6695;5886639,931;50;U;"53°7'45.0""";"116°58'0.0""";;53,12916667;116,9666667;70,86172345;0,260521042;14,51903808;0,841683367;1,653306613;0,04008016;0,711422846;2,134268537;4,108216433;4,208416834;0,100200401;0,551102204;0,01002004;100;0,01;Tr;magnesian;calc-alkalic;101,96;56,08;141,94;61,98;94,2;0,142399353;0,03805757;0,000705935;0,066282937;0,044675338;metaluminous;magnesian/calc-alkalic/metaluminous
2391;457438,9223;7539497,975;59;W;"67°58'0.0""";"169°59'0.0""";;67,96666667;169,9833333;70,41720601;0,368415812;14,08941551;1,0654187;2,290152345;0,059743105;0,836403465;1,752464403;3,614457831;4,719705267;0,089614657;0,687045703;0,009957184;100;0,17;K1;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,138185715;0,031249365;0,000631356;0,058316519;0,050103028;metaluminous;magnesian/alkali-calcic/metaluminous
2392;627937,1955;5814611,952;49;U;"52°28'0.0""";"112°53'0.0""";;52,46666667;112,8833333;70,69879036;0,359892032;14,4956513;1,259622113;1,509547136;0,029991003;0,879736079;1,719484155;4,398680396;4,148755373;0,119964011;0,369889033;0,009997001;100;0,01;Tr;magnesian;alkali-calcic;101,96;56,08;141,94;61,98;94,2;0,142169981;0,030661272;0,000845174;0,070969351;0,044041989;metaluminous;magnesian/alkali-calcic/metaluminous
