;Latitude;Longitude;QAPF
155;"50ø23'0.0""";"110ø44'0.0""";monzo granite
156;"67ø59'0.0""";"177ø32'0.0""";monzo granite
157;"48ø54'0.0""";"138ø59'0.0""";monzo granite
158;"69ø18'0.0""";"143ø5'0.0""";monzo granite
159;"62ø32'0.0""";"155ø49'0.0""";monzo granite
160;"45ø49'20.0""";"135ø20'40.0""";monzo granite
161;"47ø49'13.0""";"138ø8'10.0""";monzo granite
162;"45ø36'27.0""";"134ø51'30.0""";monzo granite
163;"49ø23'0.0""";"139ø33'0.0""";monzo granite
164;"64ø32'0.0""";"146ø32'0.0""";monzo granite
165;"48ø12'0.0""";"137ø19'0.0""";monzo granite
166;"45ø32'53.0""";"136ø56'35.0""";monzo granite
167;"62ø17'0.0""";"148ø47'0.0""";monzo granite
168;"52ø10'10.0""";"115ø0'50.0""";monzo granite
169;"50ø27'0.0""";"133ø25'0.0""";monzo granite
170;"52ø13'0.0""";"134ø21'0.0""";monzo granite
171;"45ø39'0.0""";"134ø48'30.0""";syeno granite
172;"63ø36'0.0""";"147ø52'0.0""";monzo granite
173;"60ø57'0.0""";"153ø55'0.0""";monzo granite
174;"59ø55'0.0""";"139ø18'0.0""";monzo granite
175;"53ø56'40.0""";"115ø42'10.0""";monzo granite
176;"53ø50'0.0""";"115ø16'40.0""";monzo granite
177;"51ø12'0.0""";"113ø12'0.0""";monzo granite
178;"50ø15'0.0""";"112ø49'0.0""";monzo granite
179;"50ø27'0.0""";"133ø28'0.0""";monzo granite
180;"69ø53'0.0""";"140ø8'0.0""";monzo granite
181;"67ø52'0.0""";"179ø21'0.0""WW";monzo granite
182;"60ø29'40.0""";"142ø1'20.0""";monzo granite
183;"51ø15'0.0""";"134ø11'0.0""";monzo granite
184;"44ø32'30.0""";"135ø42'10.0""";monzo granite
185;"52ø34'20.0""";"115ø15'30.0""";syeno granite
186;"50ø6'0.0""";"109ø46'0.0""";monzo granite
187;"69ø43'0.0""";"176ø5'0.0""";monzo granite
188;"46ø35'5.0""";"105ø26'30.0""";monzo granite
189;"66ø36'0.0""";"179ø3'0.0""WW";monzo granite
190;"60ø32'0.0""";"149ø43'0.0""";monzo granite
191;"51ø8'0.0""";"112ø57'0.0""";monzo granite
192;"53ø9'0.0""";"140ø58'0.0""";monzo granite
193;"52ø15'40.0""";"110ø15'40.0""";monzo granite
194;"45ø36'5.0""";"136ø35'50.0""";monzo granite
195;"62ø23'0.0""";"149ø17'0.0""";monzo granite
196;"60ø35'0.0""";"149ø41'0.0""";monzo granite
197;"62ø10'0.0""";"155ø13'0.0""";monzo granite
198;"47ø10'25.0""";"137ø7'40.0""";monzo granite
199;"53ø16'0.0""";"111ø59'30.0""";monzo granite
200;"50ø0'0.0""";"112ø35'0.0""";monzo granite
201;"54ø5'35.0""";"116ø21'10.0""";monzo granite
202;"51ø21'0.0""";"134ø34'0.0""";monzo granite
203;"52ø8'0.0""";"112ø40'0.0""";monzo granite
204;"49ø37'0.0""";"110ø23'0.0""";monzo granite
205;"48ø13'0.0""";"136ø30'0.0""";monzo granite
206;"47ø48'25.0""";"138ø4'25.0""";monzo granite
207;"53ø4'0.0""";"133ø15'0.0""";monzo granite
208;"44ø39'20.0""";"136ø12'5.0""";monzo granite
209;"59ø42'0.0""";"150ø53'0.0""";monzo granite
210;"62ø38'0.0""";"156ø4'0.0""";monzo granite
211;"49ø44'0.0""";"109ø3'0.0""";monzo granite
212;"53ø53'50.0""";"115ø37'30.0""";monzo granite
213;"52ø34'20.0""";"115ø15'30.0""";monzo granite
214;"50ø9'0.0""";"109ø55'0.0""";monzo granite
215;"44ø23'40.0""";"133ø1'20.0""";monzo granite
216;"61ø58'0.0""";"156ø19'0.0""";monzo granite
217;"66ø58'0.0""";"135ø48'0.0""";monzo granite
218;"51ø18'0.0""";"113ø35'0.0""";monzo granite
219;"43ø37'58.0""";"135ø12'59.0""";monzo granite
220;"53ø44'0.0""";"115ø17'30.0""";monzo granite
221;"62ø35'0.0""";"155ø35'0.0""";syeno granite
222;"67ø23'0.0""";"156ø33'0.0""";monzo granite
223;"50ø42'0.0""";"113ø33'0.0""";monzo granite
224;"47ø59'0.0""";"108ø15'0.0""";monzo granite
225;"49ø13'0.0""";"138ø0'0.0""";monzo granite
226;"63ø53'0.0""";"157ø53'0.0""";monzo granite
227;"47ø27'0.0""";"138ø43'0.0""";monzo granite
228;"51ø12'0.0""";"112ø52'0.0""";monzo granite
229;"45ø37'49.0""";"134ø46'20.0""";monzo granite
230;"53ø43'30.0""";"115ø12'30.0""";monzo granite
231;"69ø58'0.0""";"171ø38'0.0""";monzo granite
232;"67ø50'0.0""";"179ø10'0.0""WW";monzo granite
233;"50ø50'0.0""";"108ø22'0.0""";monzo granite
234;"50ø57'0.0""";"105ø52'30.0""";monzo granite
235;"45ø6'0.0""";"136ø45'0.0""";monzo granite
236;"44ø27'50.0""";"135ø13'7.0""";monzo granite
237;"54ø44'0.0""";"123ø55'0.0""";monzo granite
238;"46ø35'50.0""";"105ø51'35.0""";granodiorite
239;"48ø12'0.0""";"136ø30'0.0""";monzo granite
240;"52ø56'0.0""";"114ø6'30.0""";monzo granite
241;"44ø50'30.0""";"135ø3'20.0""";monzo granite
242;"44ø29'5.0""";"134ø15'7.0""";monzo granite
243;"47ø24'6.0""";"138ø6'54.0""";monzo granite
244;"45ø36'0.0""";"136ø39'30.0""";monzo granite
245;"61ø18'0.0""";"142ø5'0.0""";monzo granite
246;"45ø49'15.0""";"135ø38'10.0""";monzo granite
247;"43ø6'53.0""";"133ø25'18.0""";monzo granite
248;"62ø27'0.0""";"155ø50'0.0""";monzo granite
249;"50ø19'0.0""";"112ø48'0.0""";syeno granite
250;"46ø25'0.0""";"109ø43'0.0""";monzo granite
251;"62ø36'0.0""";"155ø53'0.0""";monzo granite
252;"53ø31'30.0""";"118ø49'40.0""";monzo granite
253;"53ø44'20.0""";"115ø23'10.0""";monzo granite
254;"46ø37'10.0""";"138ø14'55.0""";granodiorite
255;"54ø0'30.0""";"117ø48'40.0""";monzo granite
256;"46ø12'30.0""";"110ø50'0.0""";monzo granite
257;"50ø32'0.0""";"111ø11'0.0""";monzo granite
258;"62ø27'0.0""";"155ø58'0.0""";monzo granite
259;"61ø50'0.0""";"156ø29'0.0""";monzo granite
260;"51ø43'0.0""";"113ø12'0.0""";monzo granite
261;"53ø54'50.0""";"115ø33'0.0""";monzo granite
262;"46ø37'0.0""";"104ø44'0.0""";monzo granite
263;"61ø22'0.0""";"151ø50'0.0""";monzo granite
264;"46ø55'0.0""";"105ø46'50.0""";monzo granite
265;"61ø8'0.0""";"151ø4'0.0""";monzo granite
266;"69ø44'0.0""";"171ø55'0.0""";monzo granite
267;"49ø31'0.0""";"110ø6'0.0""";monzo granite
268;"50ø39'20.0""";"104ø34'0.0""";monzo granite
269;"45ø44'30.0""";"134ø46'36.0""";monzo granite
270;"44ø52'7.0""";"136ø9'50.0""";monzo granite
271;"44ø31'8.0""";"134ø12'58.0""";monzo granite
272;"50ø2'0.0""";"110ø55'0.0""";monzo granite
273;"69ø25'0.0""";"176ø40'0.0""";granodiorite
274;"72ø19'0.0""";"141ø14'0.0""";monzo granite
275;"62ø17'0.0""";"155ø30'0.0""";monzo granite
276;"59ø55'0.0""";"144ø5'0.0""";monzo granite
277;"47ø37'30.0""";"112ø5'0.0""";monzo granite
278;"51ø8'0.0""";"113ø34'0.0""";monzo granite
279;"65ø45'0.0""";"141ø5'0.0""";monzo granite
280;"49ø19'0.0""";"139ø13'0.0""";monzo granite
281;"66ø26'0.0""";"175ø21'0.0""WW";monzo granite
282;"53ø55'20.0""";"115ø42'30.0""";monzo granite
283;"52ø58'0.0""";"112ø42'40.0""";monzo granite
284;"49ø25'0.0""";"139ø17'0.0""";monzo granite
285;"53ø40'0.0""";"118ø37'0.0""";monzo granite
286;"51ø9'0.0""";"133ø57'0.0""";monzo granite
287;"67ø41'0.0""";"139ø49'0.0""";monzo granite
288;"51ø45'30.0""";"107ø35'0.0""";monzo granite
289;"47ø14'0.0""";"137ø53'35.0""";monzo granite
290;"54ø22'30.0""";"116ø59'35.0""";monzo granite
291;"51ø17'0.0""";"108ø30'0.0""";monzo granite
292;"49ø16'0.0""";"139ø9'0.0""";monzo granite
293;"61ø8'0.0""";"151ø3'0.0""";monzo granite
294;"50ø37'0.0""";"113ø43'0.0""";monzo granite
295;"69ø46'0.0""";"142ø12'0.0""";monzo granite
296;"66ø1'0.0""";"142ø7'0.0""";monzo granite
297;"45ø31'42.0""";"134ø41'0.0""";granodiorite
298;"61ø18'0.0""";"149ø10'0.0""";monzo granite
299;"44ø27'0.0""";"134ø20'29.0""";monzo granite
300;"53ø41'50.0""";"115ø6'10.0""";monzo granite
301;"62ø3'0.0""";"141ø2'0.0""";monzo granite
302;"68ø3'0.0""";"179ø30'0.0""WW";monzo granite
303;"51ø38'40.0""";"110ø19'20.0""";monzo granite
304;"62ø41'0.0""";"155ø55'0.0""";monzo granite
305;"62ø22'0.0""";"139ø53'0.0""";monzo granite
306;"53ø9'0.0""";"129ø45'0.0""";monzo granite
307;"47ø14'20.0""";"113ø54'7.0""";monzo granite
308;"62ø2'0.0""";"155ø15'0.0""";monzo granite
309;"66ø21'0.0""";"174ø52'0.0""WW";monzo granite
310;"62ø10'0.0""";"155ø13'0.0""";monzo granite
311;"46ø25'0.0""";"109ø43'0.0""";monzo granite
312;"60ø39'0.0""";"149ø30'0.0""";monzo granite
313;"51ø26'20.0""";"108ø44'30.0""";monzo granite
314;"53ø49'0.0""";"140ø1'0.0""";monzo granite
315;"61ø55'0.0""";"139ø25'0.0""";monzo granite
316;"53ø57'0.0""";"115ø42'0.0""";monzo granite
317;"51ø13'50.0""";"107ø34'0.0""";monzo granite
318;"60ø38'0.0""";"149ø30'0.0""";monzo granite
319;"69ø43'0.0""";"141ø41'0.0""";monzo granite
320;"52ø6'50.0""";"115ø58'30.0""";monzo granite
321;"52ø6'50.0""";"115ø58'30.0""";monzo granite
322;"60ø29'45.0""";"142ø5'20.0""";monzo granite
323;"63ø58'0.0""";"163ø28'0.0""";monzo granite
324;"51ø7'0.0""";"113ø15'0.0""";monzo granite
325;"53ø50'10.0""";"115ø18'10.0""";monzo granite
326;"61ø1'0.0""";"150ø5'0.0""";monzo granite
