;Lat_deg;Lat_min;Lat_sec;Long_deg;Long_min;Long_sec;Latitude;Longitude;past_mer;type_granite;time;massif;sampler;others;sampler+year
4285;53;36;;119;52;;"53ø36'0.0""";"119ø52'0.0""";;Quartz diorite;J;;;;E.M.Leyfman,1967
4286;45;7;30;133;51;55;"45ø7'30.0""";"133ø51'55.0""";;Diorite;K;;;;Yu.I.Maksimenko,1963
4287;64;17;;168;1;;"64ø17'0.0""";"168ø1'0.0""";;Granodiorite;K;;;Oth.:C02-0.19;S.P.Skuratovsky,1966
4288;59;19;;152;57;;"59ø19'0.0""";"152ø57'0.0""";;Quartz diorite;K;;;Det.:H2o+-0.60;V.F.Karpichev,1960
4289;44;16;;134;36;40;"44ø16'0.0""";"134ø36'40.0""";;Diorite;K;Ararat massif;;;I.I.Antushevich,1966
4290;68;55;;164;24;;"68ø55'0.0""";"164ø24'0.0""";;Quartz diorite;K;Attykveem massif;L.G.Semenova;Oth:S-0.14,cr2o3-0.07;A.I.Sadovsky,1963
4291;69;18;;171;20;;"69ø18'0.0""";"171ø20'0.0""";;Granodiorite porphyraceous;K;Pytlyan massif;;;M.N.Bogdanova,1967
4292;69;1;;172;17;;"69ø1'0.0""";"172ø17'0.0""";;Quartz diorite;K;Palyan massif;Kharitonova;;M.N.Bogdanova,1967
4293;63;47;;143;57;;"63ø47'0.0""";"143ø57'0.0""";;Granodiorite micropegmatitic;K;Taryn massif;N.AKhil';;K.V.Plastinin,1976
4294;44;16;;132;47;;"44ø16'0.0""";"132ø47'0.0""";;Granodiorite porphyraceous;K;Sinegorsky massif;;;L.N.Izosov,1970
4295;50;6;;108;3;;"50ø6'0.0""";"108ø3'0.0""";;Quartz diorite(granodiorite);Tr;;M.O.RuchkinaOet;:H2o+-0.38;L.A.Kozubova,1966
4296;46;24;;137;34;50;"46ø24'0.0""";"137ø34'50.0""";;Granodiorite;K;;;;V.K.Popov,1976
4297;73;41;;141;35;;"73ø41'0.0""";"141ø35'0.0""";;Quartz diorite-porphyry;K;;N.M.Bogdanova;;A.I.Samusin,1974
4298;65;6;;135;4;;"65ø6'0.0""";"135ø4'0.0""";;Granodiorite;K;Tinachan massif;;Oth.:Li20-0.02,F-0.07;S.A.Ivanov,1973
4299;48;33;;136;46;;"48ø33'0.0""";"136ø46'0.0""";;Monzogranodiorite;Pg;;;;G.I.Stepanov,1960
4300;65;50;;165;46;;"65ø50'0.0""";"165ø46'0.0""";;Quartz diorite;K;;;;E.K.Zotov,1964
4301;59;35;;150;33;;"59ø35'0.0""";"150ø33'0.0""";;Granodiorite;K;Magadan batholite;O.B.Maksimov;Oth:S03-0.24;K.T.Zlobin,1948
4302;53;0;;115;17;;"53ø0'0.0""";"115ø17'0.0""";;Granodiorite;Tr;Bitsykan-Akimin massif;L.S.Voronova;;M.I.Nikul'shin,1960
4303;63;35;30;164;45;;"63ø35'30.0""";"164ø45'0.0""";;Quartz diorite;K;;;;I.I.Sonin,1968
4304;66;57;;157;57;;"66ø57'0.0""";"157ø57'0.0""";;Quartz diorite;K;Lis'in massif;;Oth.:C02-0.05;Yu.M.Neklyudov,1971
4305;66;15;;134;35;;"66ø15'0.0""";"134ø35'0.0""";;Amf-Bt granodiorite;K;Ketekhtyakh massif;;;V.E.Abel',1969
4306;47;2;;137;26;55;"47ø2'0.0""";"137ø26'55.0""";;Granodiorite-porphyry;K;;;;V.V.Sigov,1969
4307;46;25;17;135;48;;"46ø25'17.0""";"135ø48'0.0""";;Quartz diorite;K;Tatiba massif;;;V.A.Nikogosyan,1966
4308;69;42;;170;27;;"69ø42'0.0""";"170ø27'0.0""";;Granodiorite porphyraceous;K;Yanra-Paak massif;;;M.I.Rokhlin,1938
4309;43;4;18;133;2;14;"43ø4'18.0""";"133ø2'14.0""";;Quartz diorite;K;;EP.Komogorova;;B.D.Chemeris,1962
4310;65;30;;173;14;;"65ø30'0.0""";"173ø14'0.0""WW";W;Quartz diorite;K;;;Oth.:C02-0.14,Sno2-0.04;G.A.Zhukov,1956
4311;59;33;;150;56;;"59ø33'0.0""";"150ø56'0.0""";;Quartz diorite;K;Magadan batholite;;Oth.:C02-0.04,so3-0.0l;A.M.Demin,1945
4312;54;11;;139;39;;"54ø11'0.0""";"139ø39'0.0""";;Monzogranodiorite;K;;L.AKyanno;Det:co2-0.15;E.N.Brusko,1974
