;Latitude;Longitude;time;area;0
3054;"52ø6'0.0""";"112ø46'0.0""";Tr-J;1;1
3055;"54ø9'40.0""";"116ø17'20.0""";Tr-J;1;0
3056;"64ø53'0.0""";"164ø48'0.0""";K;4;1
3057;"60ø55'0.0""";"153ø37'0.0""";K;3;0
3058;"48ø15'0.0""";"136ø33'0.0""";K;2;0
3059;"53ø15'0.0""";"116ø28'10.0""";J;1;2
3060;"69ø25'0.0""";"149ø37'0.0""";K;3;0
3061;"53ø50'35.0""";"119ø8'30.0""";Tr;1;0
3062;"69ø20'0.0""";"141ø56'30.0""";K;3;0
3063;"47ø27'0.0""";"138ø43'0.0""";Pg;2;0
3064;"63ø12'0.0""";"148ø4'0.0""";J;3;0
3065;"53ø8'0.0""";"116ø52'30.0""";Tr;1;0
3066;"49ø30'0.0""";"138ø52'0.0""";K;2;0
3067;"47ø16'25.0""";"137ø8'0.0""";K;2;0
3068;"69ø2'0.0""";"174ø14'0.0""";K;4;0
3069;"51ø45'0.0""";"134ø55'0.0""";K;2;0
3070;"56ø22'25.0""";"118ø16'40.0""";Mz;1;0
3071;"50ø16'0.0""";"108ø12'0.0""";Tr;1;0
3072;"52ø1'0.0""";"112ø35'0.0""";Tr;1;1
3073;"69ø25'0.0""";"145ø27'0.0""";K;3;0
3074;"69ø24'0.0""";"149ø28'0.0""";K;3;0
3075;"51ø4'0.0""";"113ø20'0.0""";J;1;0
3076;"50ø56'0.0""";"113ø16'0.0""";J;1;0
3077;"44ø44'55.0""";"135ø54'5.0""";K;2;1
3078;"43ø10'5.0""";"133ø4'10.0""";K;2;0
3079;"53ø37'0.0""";"118ø40'50.0""";J;1;0
3081;"51ø47'0.0""";"135ø29'0.0""";K;2;0
3082;"64ø48'0.0""";"135ø14'0.0""";K;3;0
3083;"52ø43'30.0""";"116ø47'10.0""";Tr;1;1
3084;"50ø35'0.0""";"139ø30'0.0""";Pg;2;1
3085;"55ø56'10.0""";"118ø42'0.0""";Tr;1;0
3086;"69ø24'0.0""";"145ø33'0.0""";K;3;0
3087;"63ø46'0.0""";"143ø31'0.0""";K;3;0
3088;"43ø40'0.0""";"135ø10'0.0""";Pg;2;0
3089;"69ø27'0.0""";"145ø35'0.0""";K;3;0
3090;"67ø40'0.0""";"175ø20'0.0""WW";K;5;0
3091;"53ø41'30.0""";"115ø10'30.0""";Tr-J;1;0
3092;"65ø8'0.0""";"134ø53'0.0""";K;3;2
3095;"65ø4'0.0""";"134ø28'0.0""";K;3;0
3096;"47ø25'25.0""";"138ø57'40.0""";Pg;2;0
3097;"63ø56'0.0""";"147ø6'0.0""";J;3;0
3098;"52ø15'0.0""";"139ø3'0.0""";K;2;1
3099;"52ø47'30.0""";"114ø29'50.0""";Tr-J;1;0
3100;"52ø57'40.0""";"114ø2'30.0""";Tr-J;1;0
3101;"69ø25'0.0""";"145ø30'0.0""";K;3;0
3102;"68ø42'0.0""";"169ø21'0.0""";K;4;0
3103;"65ø45'0.0""";"165ø23'0.0""";K;4;0
3104;"64ø3'0.0""";"144ø15'0.0""";K;3;0
3105;"62ø48'0.0""";"139ø25'0.0""";K;3;0
3106;"67ø0'0.0""";"176ø5'0.0""WW";K;5;0
3107;"63ø11'30.0""";"163ø0'20.0""";K;4;1
3108;"53ø50'30.0""";"117ø38'20.0""";J;1;0
3109;"53ø44'50.0""";"115ø18'0.0""";Tr-J;1;0
3110;"51ø23'0.0""";"109ø31'0.0""";J;1;1
3112;"44ø55'40.0""";"136ø33'30.0""";Pg;2;1
3113;"53ø45'20.0""";"115ø23'30.0""";Tr-J;1;0
3114;"50ø51'0.0""";"108ø19'0.0""";Tr-J;1;0
3115;"51ø7'0.0""";"113ø4'0.0""";J;1;0
3116;"47ø14'0.0""";"135ø13'0.0""";K;2;0
3117;"61ø47'0.0""";"148ø17'0.0""";J;3;0
3118;"47ø15'0.0""";"138ø41'0.0""";Pg;2;1
3120;"62ø24'0.0""";"156ø9'0.0""";K;3;0
3121;"53ø29'10.0""";"118ø56'0.0""";J;1;0
3122;"48ø32'0.0""";"138ø21'0.0""";K;2;1
3123;"53ø31'20.0""";"119ø25'20.0""";Tr;1;0
3124;"68ø7'0.0""";"178ø9'0.0""WW";K;5;0
3125;"51ø46'0.0""";"134ø20'0.0""";K;2;1
3126;"50ø22'0.0""";"107ø37'10.0""";Tr;1;0
3127;"63ø5'57.0""";"166ø0'48.0""";K;4;1
3128;"45ø39'50.0""";"134ø46'40.0""";K;2;0
3129;"44ø16'0.0""";"132ø47'0.0""";K;2;0
3130;"63ø41'0.0""";"144ø8'0.0""";K;3;0
3131;"69ø55'0.0""";"140ø23'0.0""";K;3;0
3132;"67ø43'0.0""";"178ø10'0.0""";K;4;0
3133;"52ø16'10.0""";"117ø42'20.0""";J;1;0
3134;"43ø4'10.0""";"132ø42'0.0""";K;2;0
3135;"61ø1'0.0""";"148ø6'0.0""";K;3;0
3136;"54ø55'20.0""";"119ø49'50.0""";Tr;1;0
3137;"60ø52'0.0""";"148ø35'0.0""";K;3;1
3138;"47ø15'25.0""";"137ø47'55.0""";K;2;0
3139;"63ø41'0.0""";"144ø8'0.0""";K;3;0
3140;"63ø41'0.0""";"143ø49'0.0""";K;3;0
3141;"68ø47'0.0""";"142ø5'0.0""";K;3;1
3142;"49ø41'0.0""";"112ø18'0.0""";J;1;0
3143;"52ø26'55.0""";"115ø25'0.0""";Tr;1;0
3144;"47ø52'0.0""";"136ø14'0.0""";K;2;0
3145;"46ø59'25.0""";"137ø32'25.0""";K;2;0
3146;"63ø30'56.0""";"166ø0'48.0""";K;4;0
3147;"55ø25'40.0""";"118ø55'10.0""";Tr;1;0
3148;"53ø14'0.0""";"117ø25'20.0""";Tr;1;0
3149;"53ø11'5.0""";"117ø4'0.0""";Mz;1;0
3150;"62ø36'0.0""";"150ø52'0.0""";J;3;0
3151;"53ø48'30.0""";"117ø37'40.0""";J;1;1
3152;"52ø32'0.0""";"112ø58'0.0""";Tr-J;1;1
3153;"69ø38'0.0""";"150ø28'0.0""";K;3;0
3154;"61ø18'0.0""";"152ø27'0.0""";J;3;0
3155;"49ø21'0.0""";"111ø6'0.0""";J;1;0
3156;"44ø16'0.0""";"132ø47'0.0""";K;2;0
3157;"61ø21'0.0""";"145ø16'0.0""";K;3;0
3158;"67ø18'0.0""";"157ø55'0.0""";K;3;0
3159;"50ø4'0.0""";"112ø13'0.0""";J;1;0
3160;"63ø40'35.0""";"143ø50'0.0""";K;3;0
3161;"68ø30'0.0""";"162ø28'0.0""";K;4;0
3162;"64ø58'0.0""";"133ø58'0.0""";K;3;1
3163;"53ø9'30.0""";"117ø1'55.0""";J;1;0
3164;"54ø43'30.0""";"118ø42'0.0""";Tr;1;0
3165;"50ø24'0.0""";"112ø19'0.0""";J;1;0
3166;"53ø32'0.0""";"118ø59'50.0""";Tr;1;0
3167;"63ø26'0.0""";"142ø2'0.0""";K;3;1
3168;"61ø21'0.0""";"143ø52'0.0""";K;3;0
3169;"62ø22'0.0""";"145ø5'0.0""";K;3;0
3171;"49ø48'0.0""";"110ø56'0.0""";J;1;0
3172;"45ø59'10.0""";"135ø16'30.0""";K;2;0
3174;"62ø48'0.0""";"134ø25'0.0""";K;3;0
3175;"50ø9'0.0""";"108ø53'0.0""";Tr-J;1;0
3176;"61ø10'0.0""";"156ø25'0.0""";K;3;0
3177;"54ø11'30.0""";"119ø56'0.0""";J;1;0
3178;"49ø38'0.0""";"110ø28'0.0""";J;1;0
3179;"62ø16'0.0""";"151ø9'0.0""";J;3;2
3180;"65ø10'0.0""";"134ø24'0.0""";K;3;0
3181;"43ø48'20.0""";"135ø27'20.0""";Pg;2;1
3182;"66ø13'0.0""";"139ø41'0.0""";K;3;0
3183;"50ø12'0.0""";"112ø14'0.0""";J;1;2
3184;"53ø19'0.0""";"135ø11'0.0""";K;2;2
3185;"53ø6'30.0""";"112ø52'40.0""";Tr-J;1;0
3186;"64ø4'0.0""";"142ø30'0.0""";K;3;1
