80|- (61°40' ,155°19')|.Aplite|.K2|.Tuman massif||.Z.I.Karpicheva|.Det|.|:H2o+-0|.10|(A.D.Silirisky,1963). 
81|- (60°46' ,153°20')|.Granite alkalline|.K2|.Sukhoy massif|.G.I.Finogentova|.Det|.|:H2o+-0.43|(Yu.G.Kobylyansky,1964). 
82|- (46°00'05",135°18'17") |.Granite|.K2|.Ust' -Tatiba massif|.B.M.Frenkel' (O.K.Chediya,1951) . 
83|- (53°52' ,136°34')|.Granite|-porphyry|.K2-Pg1|.E.P.Lazhkov|(L.S.Buff,1960). 
84|- (52°23'15",114°15'40")|.Granite-porphyry|.J3|.V.I.Zhigalova|(E.A.Zaykov,1970). 
85|- (55°08',128°48')|.Granite|.K|.A:N.Geraskina|(Yu.V.Koshkov,1975) . 
86|- (47°27' ,138°04'30")|.Granite alaskitic medium-grained|.Pg1|.Khulimin massif|(N.I.Shlepkin,1972). 
87|- (53°19'30",112°36') |.Granite fine-grained|.Tr|.V.P.Usacheva|(V.A.Slipchenko,1966). 
88- (52°06'50",115°58'30") |.Granite leucocratic|.J 3|.Zangan massif|.N.A.Ogneva|(V.A|.Gulin,1964) . 
89|- (61°21' ,146°16')|.Bt granite medium-grained|.K2|.Right|-Ulchen massif||.S.M.Shadskaya|(G.A.Topunova,1955). 
90|- (45°32'49",134°45') |.Bt granite|.K2|.Dintsukhin massif|.Oth|.:S03-0.02|(N.A.Belyaevsky|,1952). 
91|- (62°25' ,156°10')|.Granite pegmatoid|.K1|.Left|-Myauchan massif|(I.M.Speranskaya,1952). 
92|- (67°21' ,175°40')|.Granite medium-grained|.K1|.G.S.Gormashova|{V.A.Kitaev,1958). 
93|- (60°12' ,151°05')|.Alaskite|.K2|.Z.A.Lipnyagova|(A.P.Osipov,1964) . 
94- {63°16' ,152°10')|.Aplite|.J 3|.Deryas-Yuryugin massif|.M.P.Belopol|'skaya|(E.F.Sukhanova,1951) . 
95|- {52°06'50",115°58'30")|.Granite leucocratic subalkaline|.J3|.Zangan massif|.N.A.Ogneva|(V.A.Gulin,1964). 
96- (48°34' ,138°52')|,Bt granite leucocratic||.Pg1|.A.D.Zlygosteva|{A.N|.Serebryakov,1965). 
97- (62°19' ,155°30')|.Bt granite coarse-grained|.K2|.Nevsky massif||.M.V|.Voronkova|{M.G.Rub,1966) . 
98- {68°02' ,137°09')|.Bt granite medium-grained|.K1|.Kurein massif|(A.F.Zausaev,1969). 
99|- (62°39' ,155°41')|.Aplite|.K2|.Left-Omsukchan massif|.P.M.Bosek||.Oth|.|:Zro2-0.02|,TR-0.10|(O.S.Gracheva,1948) . 
100- (61°41' ,151°26')|.Granite-porphyry|.K2|.Uval'ny stock|.O.M.Sidorova||.Det.:H2o+-0.51|(B.I.Mal'kov,1964) |.I|~ 
101- (48°13' ,138°41')|.Granite leucocratic|.Pg1|.M.M.Stukalova|(A.N.Pagol'skaya,1958). 
102- (63°35' ,175°24')|.Granite|.K|.G.F.Mikhaylova|.Oth.:Cr2o3-0.0l|,co2-0.22|(S.A.Palandzhyan,1976). 
103- (53°06'30",112°52'40")|.Granite|.Tr|.V.P.Usacheva|(L.F.Oekhtereva,1964). 
104- (52°37' ,118°29')|.Granite alaskitic|.J 2|.D.M.Shuster|(A.I.Shadrin,1962). 
105- (43°38'45",135°12'47")|.Granite leucocratic|.K2-Pg1|.Saken massif|(l.I.Antushevich,1966). 
106- (52°37'50",117°36'30")|.Granite leucocratic|.Tr|.S.T.Balyuk|(P.G.Belik,1948). 
107- (69°58' ,171°32')|.Two mica granite|.K1|.K.A.Baklanova|.Oth.:C02-0.05|,so3-0.03|,Ba0-0.03|(A.V.Andrianov,1940). 
108~ (66°11',129°14')|.Granite medium-fine-grained|.K1|.Khoboyotuu-Echiy massif|(N.A.Tseydler,1969).  
109- (61°16' ,149°11')|.Granite medium-grained|.K1|.West-Butugychag mass!f|.K.A.Baklanova|(A.F.Mikhaylov,1948). 
110- (46°29'30",138°13'56")|.Granite|.K2|.Det.:H2o+-0.05|(G.A.Amel'chenko,1976). 
111- (66°24' ,174°53'W)|.Granite-porphyry|.K1|.Kenga massif|.L.A.Finogentova|.Det.:H2o+-0.27|(E.A.M~karov,1975). 
112- (65°03' ,146°04')|.Bt granite medium-grained|.J3|.Erekit massif|(V.I.Krasnokutsky,1938). 
113- (50°34' ,134°13')|.Bt granite|.K2|.M.M.Blagina|(A.A.Golovneva,1956). 
