;Latitude;Longitude;time;area;0
3920;"47ø7'0.0""";"137ø21'30.0""";K;2;0
3921;"53ø3'0.0""";"139ø3'0.0""";K;2;0
3922;"46ø30'12.0""";"135ø53'25.0""";Pg;2;0
3923;"43ø11'17.0""";"133ø4'50.0""";Pg;2;3
3924;"63ø19'50.0""";"163ø49'10.0""";K;4;2
3925;"66ø2'0.0""";"142ø14'0.0""";K;3;3
3926;"67ø55'0.0""";"179ø19'0.0""";K;4;0
3927;"67ø48'0.0""";"178ø38'0.0""WW";K;5;4
3928;"50ø46'0.0""";"136ø35'0.0""";K;2;3
3930;"53ø5'0.0""";"140ø0'0.0""";Pg;2;3
3931;"66ø5'0.0""";"133ø26'0.0""";K;3;3
3932;"52ø51'10.0""";"119ø45'0.0""";J;1;3
3933;"47ø23'48.0""";"138ø3'6.0""";K;2;3
3934;"66ø20'0.0""";"134ø31'0.0""";K;3;0
3935;"66ø32'0.0""";"166ø30'0.0""";K;4;3
3936;"63ø29'55.0""";"167ø1'30.0""";K;4;3
3937;"46ø48'0.0""";"134ø16'0.0""";K;2;4
3938;"44ø28'35.0""";"134ø45'50.0""";Pg;2;3
3939;"67ø41'0.0""";"179ø14'0.0""";K;4;0
3940;"60ø25'0.0""";"147ø12'0.0""";K;3;3
3941;"45ø31'35.0""";"135ø30'25.0""";K;2;3
3942;"64ø29'0.0""";"143ø30'0.0""";K;3;3
3943;"69ø50'0.0""";"142ø20'0.0""";K;3;3
3944;"68ø50'0.0""";"172ø42'0.0""";K;4;0
3945;"66ø24'0.0""";"138ø32'0.0""";K;3;0
3946;"50ø56'0.0""";"113ø17'0.0""";J;1;0
3947;"53ø21'45.0""";"119ø6'0.0""";Tr;1;2
3948;"65ø13'0.0""";"175ø11'0.0""WW";K;5;3
3949;"48ø11'35.0""";"137ø55'50.0""";Pg;2;3
3950;"69ø34'0.0""";"140ø44'0.0""";K;3;3
3951;"69ø27'0.0""";"142ø10'0.0""";K;3;0
3952;"52ø31'40.0""";"114ø2'0.0""";Tr;1;3
3953;"50ø15'0.0""";"112ø23'0.0""";J;1;3
3954;"62ø41'0.0""";"158ø40'0.0""";K;3;3
3955;"55ø35'30.0""";"117ø47'0.0""";Tr;1;0
3956;"46ø24'50.0""";"135ø49'50.0""";K;2;3
3957;"51ø37'0.0""";"135ø43'0.0""";K;2;3
3959;"67ø55'0.0""";"178ø17'0.0""WW";K;5;2
3960;"62ø5'0.0""";"139ø28'0.0""";K;3;0
3961;"46ø12'40.0""";"137ø30'15.0""";K;2;3
3962;"66ø56'0.0""";"157ø50'0.0""";K;3;3
3963;"47ø15'0.0""";"138ø41'0.0""";Pg;2;0
3964;"53ø39'40.0""";"113ø17'30.0""";Tr;1;3
3965;"60ø42'0.0""";"138ø30'0.0""";K;3;3
3966;"66ø56'0.0""";"156ø42'0.0""";K;3;0
3967;"63ø36'0.0""";"157ø2'0.0""";K;3;3
3968;"66ø24'0.0""";"138ø35'0.0""";K;3;1
3969;"55ø26'0.0""";"118ø55'30.0""";Tr;1;4
3970;"68ø10'0.0""";"164ø49'0.0""";K;4;2
3971;"65ø19'0.0""";"173ø22'0.0""WW";K;5;3
3972;"54ø7'0.0""";"135ø5'0.0""";Pg;2;4
3973;"45ø28'53.0""";"135ø27'30.0""";K;2;3
3974;"69ø40'0.0""";"170ø28'0.0""";K;4;3
3975;"47ø15'50.0""";"138ø46'0.0""";K;2;0
3976;"62ø5'0.0""";"139ø28'0.0""";K;3;0
3977;"52ø51'50.0""";"119ø45'0.0""";J;1;0
3978;"65ø46'0.0""";"170ø56'0.0""WW";K;5;0
3979;"44ø28'37.0""";"134ø47'30.0""";Pg;2;4
3980;"64ø52'0.0""";"135ø15'0.0""";K;3;3
3981;"54ø29'0.0""";"137ø50'0.0""";K;2;4
3982;"64ø37'0.0""";"144ø7'0.0""";K;3;3
3983;"64ø6'0.0""";"143ø52'0.0""";K;3;3
3984;"64ø7'0.0""";"143ø48'0.0""";K;3;3
3985;"52ø38'40.0""";"114ø2'20.0""";Tr-J;1;4
3986;"63ø47'0.0""";"144ø9'0.0""";K;3;0
3987;"52ø19'0.0""";"112ø59'0.0""";Tr-J;1;0
3988;"64ø13'30.0""";"168ø12'30.0""";K;4;3
3989;"54ø3'0.0""";"134ø57'0.0""";Pg;2;2
3990;"52ø8'30.0""";"114ø10'50.0""";Tr;1;3
3991;"69ø33'0.0""";"149ø20'0.0""";K;3;0
3992;"62ø11'0.0""";"139ø12'0.0""";K;3;0
3993;"54ø11'0.0""";"139ø36'0.0""";K;2;3
3994;"52ø57'30.0""";"110ø12'30.0""";Tr;1;3
3995;"64ø22'0.0""";"163ø30'0.0""";K;4;3
3996;"50ø5'0.0""";"109ø53'0.0""";Tr;1;3
3997;"62ø6'0.0""";"139ø24'0.0""";K;3;0
3998;"52ø50'0.0""";"139ø2'0.0""";K;2;0
3999;"44ø31'50.0""";"136ø11'0.0""";Pg;2;4
4001;"51ø43'10.0""";"107ø41'0.0""";Tr;1;3
4003;"46ø56'4.0""";"137ø2'45.0""";K;2;0
4004;"69ø42'0.0""";"170ø27'0.0""";K;4;3
4005;"61ø11'0.0""";"138ø43'0.0""";K;3;3
4008;"51ø0'0.0""";"113ø18'0.0""";J;1;3
4009;"51ø59'0.0""";"133ø59'0.0""";K;2;2
4010;"47ø33'15.0""";"138ø12'52.0""";Pg;2;3
4011;"64ø48'0.0""";"145ø45'0.0""";K;3;3
4012;"46ø28'30.0""";"136ø16'20.0""";K;2;3
4013;"68ø52'0.0""";"163ø7'0.0""";K;4;3
4014;"53ø53'40.0""";"117ø38'50.0""";Tr-J;1;0
4015;"50ø20'0.0""";"108ø45'0.0""";Tr;1;0
4016;"69ø32'0.0""";"148ø35'0.0""";K;3;3
4017;"67ø23'0.0""";"157ø41'0.0""";K;3;2
4018;"53ø57'0.0""";"139ø52'0.0""";Pg;2;0
4019;"62ø5'0.0""";"139ø28'0.0""";K;3;0
4020;"62ø35'0.0""";"139ø17'0.0""";K;3;3
4021;"67ø33'0.0""";"169ø24'0.0""";K;4;3
4022;"43ø53'5.0""";"134ø30'0.0""";Pg;2;3
4023;"50ø5'0.0""";"109ø52'0.0""";J;1;3
4024;"63ø38'0.0""";"144ø6'0.0""";K;3;3
4025;"64ø0'32.0""";"168ø30'17.0""";K;4;3
4026;"44ø16'40.0""";"135ø47'50.0""";Pg;2;3
4027;"49ø42'0.0""";"111ø42'0.0""";Tr;1;4
4028;"51ø46'0.0""";"138ø30'0.0""";K;2;0
4029;"53ø3'30.0""";"119ø5'20.0""";Tr;1;3
4030;"46ø0'0.0""";"137ø30'0.0""";K;2;3
4031;"61ø13'0.0""";"153ø40'0.0""";K;3;3
4032;"51ø17'0.0""";"113ø39'0.0""";J;1;0
4033;"69ø27'0.0""";"142ø49'0.0""";K;3;3
4034;"46ø10'45.0""";"136ø8'20.0""";K;2;3
4035;"50ø15'0.0""";"112ø18'0.0""";J;1;0
4036;"50ø5'0.0""";"108ø14'0.0""";Tr;1;3
4037;"44ø18'25.0""";"135ø11'30.0""";Pg;2;3
4038;"64ø21'14.0""";"164ø19'30.0""";K;4;0
4039;"63ø31'0.0""";"157ø4'0.0""";K;3;0
4040;"52ø56'0.0""";"136ø13'0.0""";Pg;2;0
4041;"46ø26'25.0""";"136ø39'40.0""";K;2;3
4042;"67ø4'0.0""";"167ø4'0.0""";K;4;3
4043;"53ø5'0.0""";"133ø15'0.0""";K;2;0
4044;"68ø6'0.0""";"178ø33'0.0""WW";K;5;3
4045;"63ø38'0.0""";"144ø6'0.0""";K;3;3
4046;"61ø12'0.0""";"150ø6'0.0""";J;3;3
4047;"45ø33'15.0""";"133ø31'35.0""";K;2;0
4048;"49ø59'0.0""";"111ø31'0.0""";J;1;0
4049;"59ø39'0.0""";"150ø39'0.0""";K;3;3
4050;"64ø22'0.0""";"173ø35'0.0""WW";K;5;3
4051;"67ø0'0.0""";"136ø20'0.0""";K;3;3
4053;"44ø55'36.0""";"134ø58'27.0""";Pg;2;0
4054;"63ø30'0.0""";"144ø7'0.0""";K;3;3
4055;"58ø59'0.0""";"152ø8'0.0""";K;3;3
4056;"49ø30'0.0""";"113ø25'30.0""";Tr;1;3
4057;"47ø12'5.0""";"137ø28'30.0""";K;2;0
4058;"65ø8'0.0""";"134ø55'0.0""";K;3;3
4060;"46ø24'25.0""";"135ø51'15.0""";K;2;3
4061;"59ø58'0.0""";"143ø15'0.0""";K;3;3
4062;"63ø29'0.0""";"141ø55'0.0""";K;3;3
4063;"69ø36'0.0""";"170ø11'0.0""";K;4;0
4065;"64ø59'0.0""";"172ø28'0.0""WW";K;5;3
4067;"68ø45'0.0""";"133ø58'0.0""";K;3;4
4068;"69ø31'0.0""";"148ø32'0.0""";K;3;3
4069;"66ø13'0.0""";"134ø35'0.0""";K;3;3
4070;"53ø3'0.0""";"139ø4'0.0""";K;2;4
4071;"62ø32'30.0""";"173ø14'0.0""";K;4;3
4072;"66ø45'0.0""";"178ø22'0.0""WW";K;5;0
4073;"65ø23'0.0""";"173ø50'0.0""WW";K;5;3
4074;"67ø5'0.0""";"177ø9'0.0""";K;4;4
4075;"69ø36'0.0""";"170ø11'0.0""";Mz;4;3
4076;"67ø50'0.0""";"178ø40'0.0""WW";K;5;0
4077;"70ø3'0.0""";"140ø7'0.0""";K;3;0
4078;"54ø0'0.0""";"114ø31'0.0""";Tr-J;1;3
4079;"54ø6'10.0""";"117ø50'40.0""";J;1;0
4080;"69ø40'0.0""";"151ø24'0.0""";J;3;0
4081;"69ø30'30.0""";"141ø14'0.0""";K;3;3
4082;"65ø6'0.0""";"135ø4'0.0""";K;3;4
4083;"44ø24'40.0""";"133ø1'20.0""";K;2;3
4084;"46ø23'50.0""";"135ø55'25.0""";K;2;0
4085;"69ø59'0.0""";"141ø10'0.0""";K;3;3
4086;"55ø32'0.0""";"135ø45'0.0""";K;2;3
4087;"68ø4'0.0""";"179ø14'0.0""";K;4;0
4088;"69ø41'0.0""";"151ø40'0.0""";J;3;3
4089;"67ø31'0.0""";"166ø3'0.0""";K;4;3
4090;"47ø15'0.0""";"138ø41'0.0""";Pg;2;3
4091;"50ø46'0.0""";"136ø23'0.0""";K;2;0
4092;"59ø34'0.0""";"150ø50'0.0""";K;3;3
4093;"49ø35'0.0""";"111ø21'0.0""";J;1;1
4094;"53ø1'30.0""";"119ø0'30.0""";Tr;1;3
4095;"60ø24'0.0""";"151ø48'0.0""";K;3;0
4096;"47ø10'25.0""";"136ø42'40.0""";K;2;3
4097;"65ø52'0.0""";"165ø57'0.0""";K;4;4
4098;"60ø56'0.0""";"147ø25'0.0""";K;3;3
4099;"44ø42'25.0""";"135ø19'15.0""";K;2;3
4100;"50ø24'0.0""";"135ø22'0.0""";K;2;0
4101;"49ø37'0.0""";"112ø21'0.0""";J;1;0
4102;"65ø17'0.0""";"143ø11'0.0""";K;3;3
4103;"69ø39'0.0""";"170ø17'0.0""";K;4;0
4104;"54ø9'0.0""";"139ø52'0.0""";Pg;2;3
4105;"64ø56'0.0""";"172ø27'0.0""WW";K;5;3
4106;"69ø36'0.0""";"170ø11'0.0""";K;4;3
4107;"47ø20'0.0""";"139ø0'0.0""";Pg;2;3
4108;"69ø53'30.0""";"141ø12'0.0""";K;3;3
4109;"50ø4'0.0""";"109ø46'0.0""";Tr;1;3
4110;"63ø15'54.0""";"166ø40'35.0""";K;4;3
4111;"46ø19'55.0""";"138ø1'30.0""";K;2;3
4112;"63ø33'40.0""";"165ø15'0.0""";K;4;0
4113;"60ø26'0.0""";"147ø9'0.0""";K;3;0
4114;"47ø15'0.0""";"138ø41'0.0""";Pg;2;0
4115;"47ø16'40.0""";"138ø45'45.0""";Pg;2;3
4116;"47ø21'36.0""";"138ø28'48.0""";K;2;3
4117;"67ø25'0.0""";"166ø2'0.0""";J;4;0
4118;"69ø50'0.0""";"174ø26'0.0""";K;4;3
4119;"49ø19'0.0""";"139ø3'0.0""";K;2;3
4120;"53ø22'0.0""";"140ø13'0.0""";Pg;2;4
4121;"65ø59'0.0""";"165ø27'0.0""";K;4;3
4122;"62ø10'0.0""";"139ø14'0.0""";K;3;3
4123;"51ø30'0.0""";"134ø39'0.0""";K;2;3
4124;"63ø10'0.0""";"157ø30'0.0""";K;3;3
4125;"64ø56'0.0""";"134ø21'0.0""";K;3;3
4126;"45ø38'40.0""";"137ø23'30.0""";K;2;3
4127;"60ø26'10.0""";"142ø7'50.0""";K;3;4
4128;"61ø54'0.0""";"147ø42'0.0""";K;3;0
4129;"63ø42'15.0""";"167ø15'40.0""";K;4;3
4130;"44ø32'15.0""";"135ø37'40.0""";Pg;2;4
4131;"44ø31'30.0""";"135ø37'30.0""";K;2;3
4132;"45ø34'22.0""";"135ø20'25.0""";K;2;0
4133;"49ø21'0.0""";"110ø48'0.0""";Tr;1;3
4134;"51ø37'0.0""";"135ø44'0.0""";K;2;3
4135;"64ø44'0.0""";"174ø38'0.0""WW";K;5;4
